report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2011-11-29,423176,186031,31238,22953,151929,345474,62263,23511
2011-12-06,422956,192752,33041,23758,142443,343943,64003,22214
2011-12-13,427699,184468,33965,29626,152357,338574,61248,25534
2011-12-20,423465,172973,39037,34102,159783,324337,56607,25989
2011-12-27,418945,167413,36625,31683,162522,326454,57327,24183
2012-01-03,423275,169339,38368,33357,164117,325960,56462,25590
2012-01-10,417923,166262,33502,33354,160949,327523,57358,23544
2012-01-17,432838,167373,31344,34061,172691,345667,58713,21766
2012-01-24,427032,173479,31256,29518,164048,343816,59987,22442
2012-01-31,425133,197478,26119,22607,147555,357417,57493,18990
2012-02-07,436061,207620,30113,23541,143085,364157,61815,18250
2012-02-14,431164,200332,32912,24718,146818,356226,59296,17308
2012-02-21,456676,214343,33382,29906,146004,375306,66423,18082
2012-02-28,479044,231050,37830,32561,145061,390412,70372,18241
2012-03-06,443249,198112,34847,33759,152969,353177,58409,21466
2012-03-13,442319,190477,39571,38457,151435,343123,61950,21168
2012-03-20,431039,175009,43546,31719,166859,332997,57452,22777
2012-03-27,417304,182369,34548,22659,152335,337411,59941,22686
2012-04-03,407761,175592,33827,20401,155751,333215,56017,20318
2012-04-10,403989,170996,34343,27567,148103,319152,57323,22927
2012-04-17,398526,168700,26695,28760,145730,321821,55336,21250
2012-04-24,395389,165003,30009,26739,148994,316231,54653,22410
2012-05-01,411972,169568,29175,31031,153584,331587,57789,20179
2012-05-08,417798,166130,42827,36540,161037,312492,54091,25939
2012-05-15,422091,164051,49909,35429,170616,309533,51995,27220
2012-05-22,435706,169551,54400,40854,172750,308348,52551,32104
2012-05-29,419991,167439,56727,32488,170208,300917,49856,29859
2012-06-05,423941,183962,55098,30144,154597,310719,55238,27980
2012-06-12,412244,181259,48944,30139,147076,305866,53770,27295
2012-06-19,418492,184393,47989,29907,150812,314503,53380,26093
2012-06-26,413618,174589,51970,30452,155729,299889,52848,31307
2012-07-03,425068,187263,50048,28717,154926,321563,54162,24740
2012-07-10,429854,182156,55921,30232,163399,316165,54067,27536
2012-07-17,431317,180474,51515,32493,162570,321389,55780,25920
2012-07-24,420296,166085,53108,33793,166448,302693,53970,30702
2012-07-31,403403,171331,45267,22297,155355,311367,54420,24472
2012-08-07,388254,163082,47582,21030,149011,295429,55131,24213
2012-08-14,388187,161435,47131,25318,147418,291358,54016,24380
2012-08-21,398747,170780,40096,26253,137903,309125,63811,23273
2012-08-28,426559,194680,36189,24517,139050,342674,68312,23179
2012-09-04,444489,204945,34481,28213,139746,359132,71585,22663
2012-09-11,460531,214403,32387,28067,143148,380239,74913,19838
2012-09-18,478609,224988,33873,27931,148802,398435,76888,18370
2012-09-25,489516,233994,30098,32641,144506,406861,78375,19916
2012-10-02,480908,239434,31108,26727,136250,405520,78497,17553
2012-10-09,484359,247401,35452,32187,131714,398702,73057,18018
2012-10-16,462826,232988,38968,28096,129500,376883,72242,18879
2012-10-23,455836,222095,40052,31001,132859,365524,69881,19259
2012-10-30,454742,207532,37310,29351,144346,367110,73513,20971
2012-11-06,447154,196504,36331,36245,144788,352530,69617,22048
2012-11-13,459761,207847,36253,33324,144488,369283,74102,20901
2012-11-20,474129,217433,36618,38921,145098,381162,72677,17428
2012-11-27,479373,228431,28024,30050,141117,399829,79775,21470
2012-12-04,434416,202177,36441,22774,135887,353483,73578,21718
2012-12-11,433586,201955,38256,24220,135772,350652,71639,20458
2012-12-18,435742,202641,44860,26462,137780,339914,68859,24506
2012-12-24,426300,200436,50340,24184,139479,327143,62201,24633
2012-12-31,427991,198660,50141,21653,143210,331869,64468,24328
2013-01-08,441304,193869,51061,34559,152103,330575,60773,25109
