report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2018-09-11,550492,164639,153469,19095,277060,310471,89698,67457
2018-09-18,465130,166468,164802,11748,205804,228792,81110,59788
2018-09-25,477881,172426,168730,14351,203763,240493,87341,54307
2018-10-02,479644,164738,171839,12462,224680,234180,77764,61163
2018-10-09,483802,162315,178457,10592,228799,234237,82096,60516
2018-10-16,469299,140817,170161,10614,239573,227660,78295,60864
2018-10-23,489829,149585,179889,9648,251035,239190,79561,61102
2018-10-30,504458,157691,190353,9688,253543,238938,83536,65479
2018-11-06,510193,148973,195816,10691,261621,240069,88908,63617
2018-11-13,520240,161860,198879,10473,268439,244051,79468,66837
2018-11-20,535707,157633,204862,15741,275695,252104,86638,63000
2018-11-27,538454,149719,204790,15042,281759,256916,91934,61706
2018-12-04,545537,144859,205635,18758,289664,257730,92256,63414
2018-12-11,613745,146082,202369,15874,341484,312735,110305,82767
2018-12-18,505711,147654,200778,13570,262111,233982,82376,57381
2018-12-24,508253,139059,197514,11791,267531,243588,89872,55360
2018-12-31,505986,148288,194936,13427,262426,244448,81845,53175
2019-01-08,514545,146271,186804,12391,269050,261525,86833,53825
2019-01-15,525052,152534,185195,12020,274438,273918,86060,53919
2019-01-22,527176,148652,189658,11417,276892,270757,90215,55344
2019-01-29,527521,146625,193099,12824,278577,263384,89495,58214
2019-02-05,523868,145480,197444,8796,280451,261152,89141,56476
2019-02-12,538627,157170,221070,8323,283224,245708,89910,63526
2019-02-19,537396,145762,220696,10215,289392,244078,92027,62407
2019-02-26,528376,143847,216302,11062,282780,238939,90687,62073
2019-03-05,541753,155922,234088,8600,284662,230006,92569,69059
2019-03-12,536724,151857,227602,18180,276601,219607,90086,71335
2019-03-19,483172,141700,219404,13143,251905,191673,76424,58952
2019-03-26,486804,139696,219974,9811,252484,191685,84813,65334
2019-04-02,497717,144973,244157,9499,258809,183599,84436,60462
2019-04-09,494804,140401,242599,10531,258102,180785,85770,60889
2019-04-16,499280,144867,242890,9996,260967,186481,83450,59913
2019-04-23,507722,148331,253749,10118,265335,179383,83938,64472
2019-04-30,517935,153821,259365,11081,266740,184120,86293,63369
2019-05-07,516282,152633,258738,10037,269233,184489,84379,63018
2019-05-14,504460,150681,245982,9614,262186,186402,81979,62462
2019-05-21,516122,149873,250975,9547,272597,194394,84105,61206
2019-05-28,536798,151129,250820,15491,283460,211782,86718,58705
2019-06-04,517428,155771,243322,10612,266118,205562,84927,57932
2019-06-11,542810,149661,236453,14814,289197,227051,89138,64492
2019-06-18,503825,162795,215125,8882,250067,222928,82081,56890
2019-06-25,521907,159285,215580,13163,262025,238416,87434,54748
2019-07-02,520970,157122,188855,10902,268544,261228,84402,59985
2019-07-09,521379,158398,194263,11324,266303,260339,85354,55453
2019-07-16,535848,170487,201838,10095,269227,265074,86039,58841
2019-07-23,541102,173483,212487,9810,269699,254802,88110,64003
2019-07-30,563024,175132,229115,11398,289310,258340,87184,64171
2019-08-06,545453,177988,221998,12529,272245,248980,82691,61946
2019-08-13,550607,167214,213863,13966,286585,259479,82842,63299
2019-08-20,542806,168455,206432,12588,278685,262478,83078,61308
