opt_type,entry_date,exp_date,S0,S_exit,K_short,K_long,width,width_pct,contracts,gross_credit,net_credit,cost_short,cost_long,total_cost,max_loss,payoff,realized_pnl,realized_pnl_sized,ret_on_credit,ret_on_max_loss,win,loss_amount,hit_full_max_loss,expired_worthless_short,group,width_name
call,2005-05-12,2005-06-17,78.54669189453125,82.54331970214844,84.29245427059973,85.86338810849035,1.570933837890621,0.02,18.515248641947363,10.31202908644615,9.647958982762267,0.4609354154225198,0.20313468826136383,0.6640701036838836,147.44542480629983,0.0,9.647958982762267,178.6343594531529,1.0,0.06543410211226876,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-06-20,2005-07-27,82.5705337524414,84.19607543945312,79.20825080437116,77.55684012932234,1.6514106750488224,0.02,17.678943205407094,10.736759347378166,10.280411558593368,0.36238338623462707,0.09396440255017152,0.4563477887847986,154.8606559462889,0.0,10.280411558593368,181.74681207258277,1.0,0.06638491549563742,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-06-20,2005-07-27,82.5705337524414,84.19607543945312,86.98034850242935,88.63175917747817,1.6514106750488224,0.02,17.569730308924253,9.776499744351685,9.317802543557027,0.3515548472017266,0.10714235359293237,0.4586972007946589,155.8232649613252,0.0,9.317802543557027,163.7112777621054,1.0,0.059797248798949716,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-07-28,2005-09-02,84.72660064697266,83.16224670410156,81.61990543076723,79.92537341782779,1.6945320129394474,0.02,17.216072981576346,10.438520045087074,10.02765134649585,0.3359158498592002,0.07495284873202356,0.41086869859122377,159.42554994744887,0.0,10.02765134649585,172.63677741507485,1.0,0.06289864673385943,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-07-28,2005-09-02,84.72660064697266,83.16224670410156,88.8326536710331,90.52718568397255,1.6945320129394474,0.02,17.128375340672868,9.624422271962407,9.211389187823313,0.32682182046907815,0.0862112636700163,0.41303308413909445,160.24181210612142,0.0,9.211389187823313,157.7761314180535,1.0,0.057484304918637576,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-09-06,2005-10-13,84.1348648071289,80.2103042602539,80.24399863620951,78.56130134006693,1.6826972961425781,0.02,17.502325159340998,11.617722085454218,11.074034976421537,0.4170650805845194,0.12662202844816173,0.5436871090326811,157.19569463783628,3.3694375955604983,7.704597380861038,134.84836858163692,0.6957353301904327,0.04901277607259975,True,0.0,False,False,"UNFILTERED (control, no IV condition)",2pct
call,2005-09-06,2005-10-13,84.1348648071289,80.2103042602539,89.17387829473418,90.85657559087676,1.6826972961425781,0.02,17.36791812759848,10.403525185482465,9.857527242808866,0.40304303615533166,0.1429549065182681,0.5459979426735997,158.41220237144896,0.0,9.857527242808866,171.20472609367596,1.0,0.06222707023348293,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-10-14,2005-11-18,81.0572509765625,85.46979522705078,76.8242003129854,75.20305529345414,1.6211450195312551,0.02,18.26994399499183,11.794271739824058,11.18841132858629,0.450358602366685,0.15550180887108356,0.6058604112377686,150.92609062453923,0.0,11.18841132858629,204.41164836620365,1.0,0.07413172422533519,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-10-14,2005-11-18,81.0572509765625,85.46979522705078,86.44791999275878,88.06906501229004,1.6211450195312551,0.02,18.09995026122124,10.37837530587753,9.770921816273523,0.43345643612547335,0.17399705347853345,0.6074534896040068,152.34358013685198,0.0,9.770921816273523,176.85319888083228,1.0,0.0641374044609966,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-11-21,2005-12-28,85.90008544921875,86.34858703613281,82.61499190077053,80.89699019178616,1.7180017089843744,0.02,17.130353696098155,10.828576304679727,10.388645538739938,0.3553225867783921,0.08460817916139673,0.43993076593978886,161.4115253596975,0.0,10.388645538739938,177.96117250200732,1.0,0.06436123762283617,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-11-21,2005-12-28,85.90008544921875,86.34858703613281,90.24142080266365,91.95942251164803,1.7180017089843744,0.02,17.03565368185292,9.933625850416794,9.491370092996942,0.3452982018401357,0.09695755557971586,0.44225575741985157,162.3088008054405,0.0,9.491370092996942,161.69169387059205,1.0,0.05847723626751603,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-12-29,2006-02-03,85.96405029296875,86.70564270019531,82.45928963453072,80.74000862867135,1.7192810058593722,0.02,17.19149498562137,11.169605567240293,10.695492270948213,0.3766767177365432,0.09743657855553617,0.4741132962920794,161.232608314989,0.0,10.695492270948213,183.87150174475835,1.0,0.06633578891221042,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-12-29,2006-02-03,85.96405029296875,86.70564270019531,90.53711109722747,92.25639210308684,1.7192810058593722,0.02,17.085602644291967,10.172770053703983,9.696212424133773,0.36543844045640594,0.11111918911380497,0.4765576295702109,162.23188816180345,0.0,9.696212424133773,165.6656326333966,1.0,0.059767611250774365,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2006-02-06,2006-03-15,86.93225860595703,89.78881072998047,82.87602022961866,81.13737505749953,1.738645172119135,0.02,17.11312361226299,12.053023997668255,11.485025132390755,0.43466223260960335,0.1333366326678971,0.5679988652775004,162.37949207952275,0.0,11.485025132390755,196.54465478055008,1.0,0.07072952985199725,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-02-06,2006-03-15,86.93225860595703,89.78881072998047,92.18151251459633,93.92015768671547,1.738645172119135,0.02,16.979734655703407,10.77976708486359,10.209408554490494,0.41992635374734355,0.15043217662575187,0.5703585303730954,163.655108657423,0.0,10.209408554490494,173.35304824691707,1.0,0.062383683822921226,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2006-03-16,2006-04-21,89.97416687011719,90.41472625732422,86.18119493760172,84.38171160019937,1.79948333740235,0.02,16.527216829786628,11.881680460014232,11.364699677156501,0.407011397179044,0.10996938567868625,0.5169807828577302,168.5836340630785,0.0,11.364699677156501,187.82685576977158,1.0,0.06741282889241906,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-03-16,2006-04-21,89.97416687011719,90.41472625732422,94.90585942882647,96.70534276622882,1.79948333740235,0.02,16.419298960223763,10.77623126725733,10.256662928734608,0.3944870601020778,0.12508127842064398,0.5195683385227218,169.6916708115004,0.0,10.256662928734608,168.40721496113775,1.0,0.06044293676693229,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2006-04-24,2006-05-31,90.24928283691406,87.9052734375,86.47831707598571,84.67333141924743,1.8049856567382818,0.02,16.515879145286963,11.882565483893304,11.367819986237064,0.4059048173767871,0.10884068027945254,0.5147454976562396,169.13074568759112,0.0,11.367819986237064,187.74954103806905,1.0,0.06721320798310124,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-04-24,2006-05-31,90.24928283691406,87.9052734375,95.18100685062282,96.9859925073611,1.8049856567382818,0.02,16.40916489885119,10.785244020524676,10.267906603293675,0.3934842588720594,0.1238531583589414,0.5173374172310008,170.23065907053453,0.0,10.267906603293675,168.48777261944892,1.0,0.060317610584114584,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
