opt_type,entry_date,exp_date,S0,K,S_exit,prem_mid,prem_recv,margin,payoff,realized_pnl,ret_on_prem,ret_on_margin,expired_worthless,win,leg,group
call,2005-12-29,2006-02-03,85.96405029296875,90.53711109722747,86.70564270019531,0.14617537618256193,0.14252099177799787,1276.227024611303,0.0,14.252099177799787,1.0,0.011167369835426036,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-02-06,2006-03-15,86.93225860595703,92.18151251459633,89.78881072998047,0.16797054149893675,0.16377127796146332,1230.0969090513568,0.0,16.377127796146333,1.0,0.0133136890887534,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-03-16,2006-04-21,89.97416687011719,94.90585942882647,90.41472625732422,0.15779482404083112,0.15384995343981034,1321.6990768753963,0.0,15.384995343981034,1.0,0.011640316327035962,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-04-24,2006-05-31,90.24928283691406,95.18100685062282,87.9052734375,0.15739370354882354,0.15345886096010294,1327.1591414634158,0.0,15.345886096010295,1.0,0.011562958515350975,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-06-01,2006-07-07,88.7463607788086,94.60403517135475,87.67066192626953,0.1880252841866774,0.18332465208201046,1207.4922415297572,0.0,18.332465208201047,1.0,0.015182263353490264,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-07-10,2006-08-16,87.83683776855469,93.52646888361711,89.8102798461914,0.18224033314334953,0.1776843248147658,1205.5420763463278,0.0,17.76843248147658,1.0,0.01473895671508032,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-08-17,2006-09-22,90.03878784179688,95.07641165369765,91.43633270263672,0.16128119683735065,0.15724916691641688,1312.7382923375021,0.0,15.724916691641688,1.0,0.011978714099701792,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-09-25,2006-11-01,92.13880157470705,97.32495056414972,95.18499755859376,0.16566893826741946,0.16152721481073398,1340.3138540309471,0.0,16.1527214810734,1.0,0.012051447078976804,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-11-02,2006-12-08,95.12938690185548,100.11127269302622,98.35645294189452,0.1591520692775088,0.15517326754557106,1419.9164856745926,0.0,15.517326754557107,1.0,0.010928337624860332,True,True,call,"UNFILTERED (control, no IV condition)"
call,2006-12-11,2007-01-17,98.6415786743164,103.57911720059748,100.02342224121094,0.15701654059259162,0.15309112707777683,1494.3868335659988,0.0,15.309112707777683,1.0,0.010244410860637822,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-01-18,2007-02-23,99.6877670288086,104.6614250397784,101.61801147460938,0.15857044971545697,0.15460618847257054,1511.850158326449,0.0,15.460618847257054,1.0,0.010226290457495651,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-02-26,2007-04-04,101.52706909179688,106.80581823974782,101.00293731689452,0.1681523127797604,0.1639485049602664,1519.0613175368696,0.0,16.39485049602664,1.0,0.010792750961897043,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-04-05,2007-05-11,101.27680206298828,107.3835065462824,105.92497253417967,0.19583445643687192,0.19093859502595012,1433.9594524329482,0.0,19.093859502595013,1.0,0.013315480762164605,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-05-14,2007-06-20,105.69326782226562,112.5110433904209,106.57894897460938,0.21836673267501006,0.2129075643581348,1453.378556065599,0.0,21.290756435813478,1.0,0.01464914722111292,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-06-21,2007-07-27,107.17133331298828,114.09767802637377,102.32682800292967,0.22230271826869163,0.21674515031197433,1472.4667099524142,0.0,21.674515031197434,1.0,0.014719867610384135,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-07-30,2007-09-05,103.92752075195312,113.93391144557022,104.21662139892578,0.3181346289871083,0.3101812632624306,1170.3572407819452,0.0,31.018126326243063,1.0,0.02650312677650379,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-09-06,2007-10-12,104.45638275146484,115.88523255028394,110.7617416381836,0.36124890966417844,0.352217686922574,1194.074094195097,0.0,35.2217686922574,1.0,0.029497138296095217,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-10-15,2007-11-21,109.82650756835938,119.56823867616504,100.38198852539062,0.3107467683621401,0.3029780991530866,1252.65485050193,0.0,30.29780991530866,1.0,0.024186877896308422,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-11-23,2007-12-28,102.11788177490234,113.88853010923947,104.91771697998048,0.3711408996288359,0.361862377138115,1175.0715388062063,0.0,36.1862377138115,1.0,0.030794923133424103,True,True,call,"UNFILTERED (control, no IV condition)"
call,2007-12-31,2008-02-06,104.14137268066406,114.97138982061082,94.76789855957033,0.34296426277312086,0.3343901562037928,1183.1529138264875,0.0,33.43901562037928,1.0,0.02826263218355493,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-02-07,2008-03-14,95.39466857910156,107.50733946528109,92.31765747070312,0.3786115430944843,0.3691462545171222,1111.9880201045232,0.0,36.91462545171222,1.0,0.03319696326246605,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-03-17,2008-04-23,91.38459777832033,105.26229421912548,98.57984924316406,0.42586983726926775,0.41522309133753604,1094.1452513250083,0.0,41.5223091337536,1.0,0.03794954013963882,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-04-24,2008-05-30,99.00933074951172,108.0261968902525,100.46236419677734,0.2877557583746988,0.2805618644153313,1108.3181553440581,0.0,28.056186441533132,1.0,0.025314199091887632,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-06-02,2008-07-09,99.42449188232422,108.51248729579348,89.77130889892578,0.2895733151798616,0.28233398230036505,1113.3582711879712,0.0,28.233398230036507,1.0,0.02535877170958726,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-07-10,2008-08-15,90.13819885253906,100.68588344374209,93.64159393310548,0.3318465076228634,0.3235503449322918,1039.21386893065,0.0,32.35503449322918,1.0,0.031134144241668438,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-08-18,2008-09-24,92.36111450195312,101.30168306203461,86.05097961425781,0.2841782023643109,0.2770737473052031,1040.7242053508664,0.0,27.70737473052031,1.0,0.026623167394457914,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-09-25,2008-10-31,87.39675903320312,100.7156742876674,70.06069946289062,0.4089018168042422,0.3986792713841361,1047.0246700150876,0.0,39.86792713841361,1.0,0.03807735221543454,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-11-03,2008-12-10,70.26326751708984,89.1611656511744,65.19847869873047,0.5306155475159988,0.5173501588280989,943.3466723945539,0.0,51.73501588280989,1.0,0.054841997535739186,True,True,call,"UNFILTERED (control, no IV condition)"
call,2008-12-11,2009-01-16,63.62836456298828,81.23475908384846,62.04418563842773,0.4916898096373723,0.479397564396438,860.2873472781283,0.0,47.9397564396438,1.0,0.055725283640775225,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-01-20,2009-02-26,58.76907730102539,75.61022667942763,55.15848159790039,0.4666356853228075,0.45496979318973735,801.59924611325,0.0,45.496979318973736,1.0,0.05675776211065188,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-02-27,2009-04-03,53.9257926940918,65.76994412685913,61.90056610107422,0.3457071079966427,0.33706443029672667,691.405884298264,0.0,33.70644302967267,1.0,0.04875058745541732,True,True,call,"UNFILTERED (control, no IV condition)"
