instrument,window,real_oos,stub,mode,thr,label,bh_sharpe,bh_max_dd,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,cost_R_mean,net_R_total,win_rate,risk_med_bps,n_obs,is_pf,oos_pf,is_sharpe,oos_sharpe,oos_trades,top_year_share,repro,dsr_batch,dsr_cum,oos_regime_holds,not_conc,beats_bh,thin,is_oos_split_holds,SURVIVOR
US30,in,True,,suppressed,0.6,suppressed < 0.6,0.5467350671711283,0.3698627922971112,17,PASS,0.7131728308461143,0.5688448110035638,-0.41453111732438197,-4.659043339605404,119.04863388504862,0.03856181798627146,0.09557487798121922,-4.006345889449465,0.4117647058823529,29.070144560682547,1652.0,0.7438182947125758,0.27715809040635436,-2.085937884349212,-9.229394206075701,5.0,,,1.4173981634190538e-15,1.2893238257454232e-33,False,False,False,True,False,False
NAS100,in,True,,suppressed,0.6,suppressed < 0.6,0.842374800132381,0.3567068346922749,8,PASS,0.4816011961997152,0.4081226208269192,-0.4223139696912394,-11.019137712771848,316.2111007250535,0.02620847877238321,0.05540463519791837,-2.318915099419396,0.375,58.06035561292805,1555.0,inf,0.3282730064595704,,-7.5003134205226,7.0,,,3.756755391444725e-17,3.5358801786204953e-37,False,False,False,True,False,False
EURUSD,in,True,,baseline,,baseline (no filter),-0.0014120284319863517,0.23300854468574808,802,PASS,1.3903842853005257,0.8788528156278916,-0.5465584598665482,-0.7844818808962006,1.202074879540938,0.416743763631218,0.20017346216227358,-44.32471165379864,0.5586034912718204,12.72479198795044,2452.0,0.9482314707821011,0.7661701133345735,-0.3950083649239033,-1.9591600579400374,293.0,,no-ref,2.192611354331998e-22,6.606195690131103e-48,,False,False,False,False,False
NAS100,out,True,,elevated,1.5,elevated > 1.5,1.2072173790053602,0.16562549731079687,19,PASS,0.7257987364692551,0.5963785619388192,-0.5955689000487518,-2.7621153540914074,45.174450325458,0.04383283870151877,0.09575251021385289,-4.570408414300559,0.42105263157894735,65.40078832091157,790.0,0.6814978634989584,0.46518545708023645,-2.8198216689868962,-5.406596591168206,7.0,,,4.32984896864669e-09,4.4210112869945475e-18,,False,False,True,False,False
US30,in,True,,elevated,1.2,elevated > 1.2,0.5467350671711283,0.3698627922971112,99,PASS,0.7683108135445225,0.6883608016833204,-0.6807570244979059,-1.0642527855333772,16.497622372271096,0.22338874879238815,0.04950381627229472,-16.5474464149189,0.42424242424242425,60.34397159441903,1698.0,0.7118743373921439,0.6519108100998825,-2.6161467907371616,-3.177300400763191,40.0,,,1.5701983068339445e-17,4.4743810001341704e-36,False,False,False,False,False,False
US30,out,True,,elevated,1.2,elevated > 1.2,1.0465962332553551,0.1449352537315384,52,PASS,0.7836986084080424,0.6674406744414711,-0.6877562489057273,-1.6934180413534774,20.022301390501,0.1075016847137258,0.06774429755057808,-8.888828688628632,0.4807692307692308,49.00912612304771,972.0,0.635448023930838,0.7139916656884234,-3.3175101649395247,-2.4834076972606,21.0,,,4.335907460495483e-11,4.386838513937037e-22,,False,False,False,False,False
US30,out,True,,elevated,1.5,elevated > 1.5,1.0465962332553551,0.1449352537315384,10,PASS,0.45428307671622464,0.3889036631062256,-0.7377441929133998,-5.963599508187884,93.11198048807844,0.043980426854613786,0.06744909803506438,-3.948792520053296,0.4,52.59957765327899,804.0,0.30425511648868464,inf,-8.836189380899413,,1.0,,,2.1499568615407376e-11,1.553370890013084e-22,,False,False,True,False,False
NAS100,out,True,,baseline,,baseline (no filter),1.2072173790053602,0.16562549731079687,377,PASS,1.1304680182664464,0.8371895920549784,-0.788440446283765,-0.4346997702370522,0.6622841570813507,0.3330282452705655,0.11939576977720325,-26.58273962422472,0.493368700265252,43.80893216787101,1016.0,0.8486818981044335,0.8256557474708945,-1.2044305545157907,-1.3849964044952447,193.0,,OK,1.1123891687086454e-11,6.132774455166209e-23,,False,False,False,False,False
US30,out,True,,suppressed,0.8,suppressed < 0.8,1.0465962332553551,0.1449352537315384,73,PASS,0.9154225596653767,0.6789545120919823,-0.8122512125806441,-1.447480172954664,12.645690404278518,0.15258344977790175,0.12340595121553975,-11.692581719493411,0.4657534246575342,25.511371766528796,869.0,0.9151243464131017,0.5617687552583904,-0.625378648065587,-4.272735852684879,43.0,,,8.92347545168192e-11,6.151328760448265e-21,,False,False,False,False,False
NAS100,out,True,,suppressed,0.8,suppressed < 0.8,1.2072173790053602,0.16562549731079687,64,PASS,0.8464179002254165,0.587886696322876,-1.0634356040963608,-1.8954999223987696,14.655965318576726,0.12982675083248393,0.1502639876787388,-13.942911383174973,0.40625,36.52534832517586,824.0,0.418538525863312,0.6600610624919363,-6.515234604957714,-3.0022592832545354,49.0,,,3.871325236938889e-12,7.508452252469054e-23,,False,False,False,False,False
US30,out,True,,baseline,,baseline (no filter),1.0465962332553551,0.1449352537315384,369,PASS,0.9102786751330407,0.6952499783287742,-1.5610523977385096,-0.4705284644381883,0.6923774182432858,0.44226799848474496,0.1113096293191573,-55.38114445351491,0.46070460704607047,28.718581361932547,1075.0,0.7121703914367866,0.6788200906423593,-2.487491984444469,-2.881717763196529,182.0,,OK,4.699892759571744e-18,1.8729704804891835e-32,,False,False,False,False,False
XAUUSD,in,True,,elevated,2.0,elevated > 2.0,1.1939063464653195,0.2038764411892057,7,PASS,0.737919666534885,0.566577317656499,-2.37550904039817,-0.5240999419613958,0.9644811047434017,0.03456719463114823,0.11395244826035199,-1.7343406197311357,0.42857142857142855,66.17296565524457,22.0,0.566577317656499,,-4.094937168837274,,0.0,,,0.06806201064341615,0.02518809913182946,,False,False,True,False,False
EURUSD,in,True,,elevated,2.0,elevated > 2.0,-0.0014120284319863517,0.23300854468574808,7,PASS,0.3135034137905704,0.24487492973598815,-5.621400820832856,-0.6958447306372361,0.3034957509052463,0.03697556565720733,0.10959618557732564,-3.6023540908463603,0.2857142857142857,27.67699850234601,18.0,0.24487492973598815,,-9.65348998518508,,0.0,,,0.008389520736427493,0.002247554906613577,False,False,False,True,False,False
