instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges
XAUUSD,M15,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",2607,PASS,1.0498141348664463,0.8273688561261496,-1.776755668108525,-0.39695640726656123,0.5410253407071255,0.9740167645561442,0.030133120328260394,0.15160764318597922,-0.12147452285771883,3.775857142856921,776,1541,290,1600,1961,646,0.7959857414761358,0.9341647047678141,-2.2489454015353445,-0.6933541246922155,0.09473684210526316,95
XAUUSD,M15,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",7101,PASS,1.0107872001969604,0.6977670407918279,-5.279360637391396,-0.4665532700556534,0.697568054335834,0.9999993024557345,0.005720599341785494,0.2019539635462584,-0.19623336420447293,2.812392857142868,2331,3618,1152,1601,5377,1724,0.6795785379645526,0.7590589675287636,-5.988740114860958,-4.369821455486123,0.042105263157894736,95
XAUUSD,M15,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1897,PASS,0.9886796829784689,0.7659388997722507,-2.116328529702616,-0.32579885282066623,0.707879805763239,0.9590577116862951,-0.006486659524038324,0.1502377504874138,-0.15672441001145213,3.8275000000001,465,1035,397,1600,1443,454,0.7829183475812646,0.7110822857032664,-2.32484274571729,-2.9262342551654723,0.021052631578947368,95
XAUUSD,M15,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1251,PASS,0.9905681998059287,0.788748403257193,-1.5048372139981767,-0.5658531892918177,2.023812947740285,0.8660626374466509,-0.005687574641331747,0.1414000215024386,-0.14708759614377034,4.101428571428642,347,728,176,1600,974,277,0.7499950160975705,0.9455017521656582,-2.4850516660022106,-0.45906265684189784,0.031578947368421054,95
XAUUSD,M15,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",2340,PASS,0.9664064511749182,0.7264171289369056,-2.611162376258501,-0.2826984048843093,1.1735327447931345,0.9965769080403301,-0.022436204817209367,0.19989796852531075,-0.2223341733425201,2.8874464285714794,417,1532,391,1600,1795,545,0.7194882465414674,0.7509567379613853,-3.1013929519094052,-2.484672769521839,0.06315789473684211,95
XAUUSD,M30,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",2258,PASS,0.9793893816124368,0.7906789242146874,-2.069878130841225,0.27272960617102904,0.5865440390464229,0.9508700717507982,-0.01047384812474555,0.11017181531984108,-0.12064566344458663,5.629499999999894,425,1060,773,1601,1745,513,0.7815857161438289,0.8235329812594272,-2.3343056845022754,-1.6492240496404185,0.042105263157894736,95
XAUUSD,M30,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",1866,PASS,0.9871803524147582,0.8159289743346774,-1.7151463918962704,0.018285351920553656,0.5966024738368949,0.8781428717637114,-0.006449846453956432,0.09640609555242007,-0.10285594200637647,6.557508928571451,544,884,438,1601,1429,437,0.8126831985343146,0.8273679694658136,-1.9347376539237167,-1.6045603670859325,0.031578947368421054,95
XAUUSD,M30,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",2006,PASS,0.939207815256672,0.8055804605440194,-1.905035774651971,0.7039369411426489,0.9821967703421284,0.9504322071598368,-0.03291814396088915,0.08329899693258827,-0.1162171408934774,7.176839285714095,190,1007,809,1601,1505,501,0.7828289197390044,0.880467642480872,-1.9227181468058456,-0.9460957336591607,0.08421052631578947,95
XAUUSD,M30,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",3101,PASS,1.016332578419558,0.7983920728736574,-2.325754896432598,0.271278126900266,0.27988891917378833,0.9919859306735502,0.009408547379706424,0.1442714338010969,-0.1348628864213905,4.027892857143115,798,1713,590,1601,2348,753,0.7613137603727944,0.9269798439432354,-3.050979704967041,-0.7526350894899713,0.12631578947368421,95
XAUUSD,M30,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",1631,PASS,1.0949632510337979,0.8909883417973136,-1.0125722750018122,0.7702617518560742,1.5864979253193363,0.8400855471266186,0.0551078707660058,0.12720044538672043,-0.07209257462071465,4.678464285714199,465,922,244,1600,1232,399,0.8310719474548189,1.1052992341772014,-1.712583868573173,0.8911583452205997,0.14736842105263157,95
