instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges
US30,M15,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",6974,PASS,0.9927133597538063,0.7814062460290114,-3.4181057074049117,-0.11476688615180623,0.3509505627697713,0.9999492822351012,-0.003810155056695624,0.1271484307700385,-0.13095858582673414,65.51549107143,0.41439632922282765,2143,3461,1370,1922,3583,3391,0.8410850851980826,0.7238578020650841,-2.554972249360917,-5.006087780831215,0.07446808510638298,94
US30,M15,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",3186,PASS,0.9770152132064337,0.705409124956761,-3.2274207010884797,-1.0060535545955351,3.400298740279865,0.9984940268846457,-0.012754712881864728,0.1826600930145506,-0.19541480589641536,47.01493750000009,0.40709353421217825,1071,1712,403,1921,1796,1390,0.7257167039707068,0.6806139345153271,-3.6704674013139487,-4.115416262895092,0.031914893617021274,94
US30,M15,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1663,PASS,0.9724584854326792,0.6327316872399172,-2.909610131569675,-2.0259318227639707,9.692577843163981,0.9697362982263233,-0.012363813553963746,0.18888622775382863,-0.20125004130779237,47.359285714279395,0.4750450992182802,670,698,295,1917,990,673,0.6393474645184537,0.6236072138595307,-4.336245178611573,-4.133205041002661,0.0,94
US30,M15,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",6095,PASS,1.0349372625145987,0.8002180160342546,-2.7517918058414286,-0.6680927841613754,0.9753789350786546,0.9994908609948586,0.01752521869318515,0.1332249780179944,-0.11569975932480922,62.5109999999986,0.4280557834290402,1814,2890,1391,1922,3267,2828,0.8014786331538082,0.7987793539248373,-2.8987806450781477,-3.044584443518518,0.06382978723404255,94
US30,M15,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",4519,PASS,1.0237974175707385,0.8437802926012677,-1.8936524554636878,-0.29445509687843224,0.6651237465964508,0.9953996202093899,0.013727784310449163,0.11532501515766341,-0.10159723084721423,68.34500000000116,0.3753042708563842,1139,2507,873,1922,2330,2189,0.8763732128389444,0.8099907502791491,-1.511094333179375,-2.5638215389542345,0.1276595744680851,94
US30,M15,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",3158,PASS,0.9641167153821469,0.803964564962658,-2.0537247075038034,-0.45277584987401226,0.8298085290068444,0.9926447227011921,-0.022948559936234677,0.11816718855301316,-0.14111574848924782,67.22400000000198,0.34230525649145027,918,1999,241,1921,1605,1553,0.8525937798593181,0.757530553038412,-1.630454098810989,-2.924438453798814,0.1276595744680851,94
US30,M15,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",8373,PASS,1.0263107738639208,0.7718206738606487,-3.8017805312832103,-0.49923679587500047,0.6593405389679412,0.9999972187320741,0.013957082851714068,0.1559317331829382,-0.14197465033122414,50.39464285714348,0.41765197659142483,2754,4266,1353,1922,4275,4098,0.8283350442791071,0.716298702896626,-2.9109459154318507,-5.395288172689669,0.14893617021276595,94
US30,M15,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",2281,PASS,0.9907385000538409,0.8284000381355034,-1.4810423758974323,-0.29964396665041215,1.144033998255149,0.9476090155736107,-0.0053731144064916424,0.10579104748034099,-0.11116416188683262,72.57164285714316,0.3704515563349408,553,1257,471,1922,1151,1130,0.8394710203919759,0.8172233457108008,-1.6164357221225798,-1.918754178542755,0.07446808510638298,94
US30,M15,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1424,PASS,0.9683314436780508,0.8354668195484205,-1.1617415459343639,-0.16788985366405532,1.2685763150952285,0.8461667547895461,-0.019727616297644003,0.09293864463970787,-0.11266626093735187,82.3537499999984,0.34691011235955055,398,868,158,1920,717,707,0.792943196551656,0.8790571979257782,-1.9923619063623652,-1.1502457450028996,0.0851063829787234,94
US30,M15,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",2801,PASS,1.0245332351349388,0.8400556284476621,-1.4674690084589392,-0.08430101165862987,1.2648712113533493,0.9822203261281379,0.016067056324728223,0.13621967150761505,-0.12015261518288685,55.92407142856973,0.3170296322741878,493,1797,511,1922,1415,1386,0.8569109601900792,0.8230195783271009,-1.4885216074321759,-1.9186746602083462,0.10638297872340426,94
US30,M30,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",2795,PASS,1.0242128515067757,0.8746957178461187,-1.1651228397209683,0.3096586322825686,0.500321137784081,0.9083339245065037,0.012383167734456751,0.08304885109752899,-0.07066568336307225,99.69703571428909,0.40178890876565293,556,1313,926,1921,1385,1410,0.8859098758099724,0.8638593283770502,-1.1045900964573385,-1.4457057436724416,0.07446808510638298,94
US30,M30,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",2167,PASS,0.9847402545285501,0.8648405402670429,-1.1297614901586317,0.17787412259537067,0.3703184995906219,0.8550035495735855,-0.00788040920482438,0.06747418182222019,-0.07535459102704457,120.53385714285832,0.4259344716197508,633,1056,478,1921,1132,1035,0.8664918703626523,0.8630205434360922,-1.2809257398882306,-1.3142345846559687,0.07446808510638298,94
