entry_date,exp_date,S0,K,S_exit,prem_paid_total,payoff,realized_pnl,ret_on_prem,expired_worthless
2007-07-02,2007-08-01,106.07828521728516,100.7743709564209,103.25759887695312,0.019633250645325586,0.0,-0.019633250645325586,-1.0,True
2007-09-04,2007-10-04,104.07559204101562,98.87181243896484,109.12505340576172,0.01907807240609726,0.0,-0.01907807240609726,-1.0,True
2007-11-01,2007-11-30,109.57144927978516,104.09287681579589,105.32744598388672,0.019890333493020967,0.0,-0.019890333493020967,-1.0,True
2007-12-03,2008-01-02,105.32744598388672,100.06107368469237,103.2296905517578,0.01897142685314622,0.0,-0.01897142685314622,-1.0,True
2008-02-01,2008-02-29,97.84491729736328,92.95267143249511,95.31632995605467,0.017451800257365976,0.0,-0.017451800257365976,-1.0,True
2008-03-03,2008-04-02,95.31632995605467,90.55051345825194,97.84968566894533,0.016831446002459914,0.0,-0.016831446002459914,-1.0,True
2008-05-01,2008-05-30,98.96632385253906,94.0180076599121,100.46236419677734,0.01731656000380877,0.0,-0.01731656000380877,-1.0,True
2008-06-02,2008-07-02,100.46236419677734,95.43924598693847,90.77125549316406,0.017407059497643533,0.22052951097670456,0.20312245147906102,11.668969793925193,False
2008-08-01,2008-08-29,91.23884582519533,86.67690353393556,92.64881896972656,0.01781832201727059,0.0,-0.01781832201727059,-1.0,True
2008-09-02,2008-10-02,92.64881896972656,88.01637802124023,80.92830657958984,0.017918437173896174,0.24391863060025,0.22600019342635383,12.612717907987758,False
2008-11-03,2008-12-03,70.06069946289062,66.55766448974609,63.179779052734375,0.01557578486376859,0.016956770062848108,0.001380985199079518,0.08866231853855909,False
2009-01-02,2009-01-30,65.82257843017578,62.53144950866699,60.41757583618164,0.014698817719659044,0.021419849155905543,0.0067210314362465,0.45724979821046463,False
2009-02-02,2009-03-04,60.41757583618164,57.39669704437256,52.321067810058594,0.013574658288023907,0.040292301569765016,0.02671764328174111,1.9682000618249416,False
2009-04-01,2009-05-01,58.41837692260742,55.497458076477045,64.56729888916016,0.013428144842003055,0.0,-0.013428144842003055,-1.0,True
2009-06-01,2009-07-01,67.97602844238281,64.57722702026366,68.2122573852539,0.015478083410327017,0.0,-0.015478083410327017,-1.0,True
2009-08-03,2009-09-02,72.99958801269531,69.34960861206055,73.74573516845703,0.016460035360553456,0.0,-0.016460035360553456,-1.0,True
2009-10-01,2009-10-30,78.3801040649414,74.46109886169434,76.87325286865234,0.017502124298742525,0.0,-0.017502124298742525,-1.0,True
2009-11-02,2009-12-02,76.87325286865234,73.02959022521972,82.58155822753906,0.017000075403705964,0.0,-0.017000075403705964,-1.0,True
