instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges,dsr,oos_holds,dsr_survives,ftmo_clears,SURVIVOR
US30,M15,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",4519,PASS,1.0237974175707385,0.8437802926012677,-1.893652455463688,-0.2944550968784322,0.6651237465964508,0.99539962020939,0.0137277843104491,0.1153250151576634,-0.1015972308472142,68.34500000000116,0.3753042708563842,1139,2507,873,1922,2330,2189,0.8763732128389444,0.8099907502791491,-1.511094333179375,-2.5638215389542345,0.1276595744680851,94,0.0,False,False,False,False
US30,M15,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",3158,PASS,0.9641167153821468,0.803964564962658,-2.0537247075038034,-0.4527758498740122,0.8298085290068444,0.992644722701192,-0.0229485599362346,0.1181671885530131,-0.1411157484892478,67.22400000000198,0.3423052564914502,918,1999,241,1921,1605,1553,0.8525937798593181,0.757530553038412,-1.630454098810989,-2.924438453798814,0.1276595744680851,94,0.0,False,False,False,False
US30,M15,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",8373,PASS,1.0263107738639208,0.7718206738606487,-3.80178053128321,-0.4992367958750004,0.6593405389679412,0.999997218732074,0.013957082851714,0.1559317331829382,-0.1419746503312241,50.39464285714348,0.4176519765914248,2754,4266,1353,1922,4275,4098,0.8283350442791071,0.716298702896626,-2.9109459154318507,-5.395288172689669,0.1489361702127659,94,0.0,False,False,False,False
US30,M15,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",2281,PASS,0.9907385000538408,0.8284000381355034,-1.4810423758974325,-0.2996439666504121,1.144033998255149,0.9476090155736108,-0.0053731144064916,0.1057910474803409,-0.1111641618868326,72.57164285714316,0.3704515563349408,553,1257,471,1922,1151,1130,0.8394710203919759,0.8172233457108008,-1.6164357221225798,-1.918754178542755,0.0744680851063829,94,0.0,False,False,False,False
US30,M15,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1424,PASS,0.9683314436780508,0.8354668195484205,-1.161741545934364,-0.1678898536640553,1.2685763150952285,0.8461667547895461,-0.019727616297644,0.0929386446397078,-0.1126662609373518,82.3537499999984,0.3469101123595505,398,868,158,1920,717,707,0.792943196551656,0.8790571979257782,-1.9923619063623648,-1.1502457450028996,0.0851063829787234,94,0.0,False,False,False,False
US30,M15,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",2801,PASS,1.0245332351349388,0.8400556284476621,-1.4674690084589392,-0.0843010116586298,1.2648712113533491,0.982220326128138,0.0160670563247282,0.136219671507615,-0.1201526151828868,55.92407142856973,0.3170296322741878,493,1797,511,1922,1415,1386,0.8569109601900792,0.8230195783271009,-1.488521607432176,-1.9186746602083464,0.1063829787234042,94,0.0,False,False,False,False
US30,M30,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",2795,PASS,1.0242128515067757,0.8746957178461187,-1.1651228397209683,0.3096586322825686,0.500321137784081,0.9083339245065036,0.0123831677344567,0.0830488510975289,-0.0706656833630722,99.69703571428909,0.4017889087656529,556,1313,926,1921,1385,1410,0.8859098758099724,0.8638593283770502,-1.1045900964573383,-1.4457057436724416,0.0744680851063829,94,0.0,False,False,False,False
US30,M30,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",2167,PASS,0.98474025452855,0.8648405402670429,-1.1297614901586317,0.1778741225953706,0.3703184995906219,0.8550035495735855,-0.0078804092048243,0.0674741818222201,-0.0753545910270445,120.53385714285832,0.4259344716197508,633,1056,478,1921,1132,1035,0.8664918703626523,0.8630205434360922,-1.2809257398882306,-1.3142345846559689,0.0744680851063829,94,0.0,False,False,False,False
US30,M30,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",2232,PASS,1.0579291999133291,0.9520288905367386,-0.4634074652625798,0.7873204191974036,0.7844892496721472,0.7225990618606679,0.0318496429327917,0.0601348151156474,-0.0282851721828557,132.00746428571802,0.3808243727598566,247,1148,837,1922,1202,1030,0.9001453113293968,1.013320562435889,-0.8331101003250103,0.1044670282933187,0.2127659574468085,94,0.0,False,False,False,False
US30,M30,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",3907,PASS,1.006475804845593,0.8449646375575806,-1.859192786120192,0.1872906501999746,0.4239008703561602,0.991499854855054,0.0037578067414105,0.1043108671372866,-0.1005530603958761,73.07214285714508,0.3790632198617865,961,2193,753,1921,1976,1931,0.884719912015689,0.8067703211784008,-1.3783376063683688,-2.545565145877203,0.1489361702127659,94,0.0,False,False,False,False
