label,N,k_atr,R,H,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share,n_pos_years,n_years
EXT_N10_katr2.5_R0.75_H24,10,2.5,0.75,24,False,630,PASS,1.1352932425232072,1.0927837224882426,0.5563374622048797,0.13422184084702585,0.5523809523809524,0.4923153630894941,5,8
EXT_N20_katr3.0_R0.5_H24,20,3.0,0.5,24,False,553,PASS,1.1821236420156926,1.1341536155050236,0.7872726494398209,0.04273576798785274,0.6166365280289331,0.21758745890866604,6,8
EXT_N15_katr3.0_R0.5_H24,15,3.0,0.5,24,False,612,PASS,1.173783104567753,1.1260007605202327,0.8010526189447629,0.05000156943516225,0.619281045751634,0.28272706016309257,8,8
EXT_N10_katr4.0_R0.25_H24,10,4.0,0.25,24,False,773,PASS,1.32396205543963,1.2587764574987617,1.3714419327610314,0.058175097760552595,0.741267787839586,0.19427287711913258,8,8
EXT_N10_katr4.5_R0.5_H24,10,4.5,0.5,24,False,552,PASS,1.2347801102048823,1.1915896065847527,1.065872474169496,0.037968281271299045,0.5815217391304348,0.30082969136192583,6,8
EXT_N10_katr4.5_R0.25_H24,10,4.5,0.25,24,False,729,PASS,1.2640860944356456,1.2049889599971146,1.2510085197215384,0.04055812702935893,0.7160493827160493,0.17458599704088737,8,8
EXT_N10_katr5.0_R0.5_H24,10,5.0,0.5,24,False,531,PASS,1.2668371487230838,1.223649696626638,1.1579643415916792,0.034558406188722475,0.5856873822975518,0.23430049829796293,8,8
EXT_N10_katr3.0_R0.25_H24,10,3.0,0.25,24,False,875,PASS,1.1721076764038878,1.1025478569191918,0.7645038415846579,0.07997534366227767,0.7622857142857142,0.46533101287682843,6,8
EXT_N15_katr4.0_R0.5_H24,15,4.0,0.5,24,False,525,PASS,1.1895326677698272,1.146247525707241,0.7865067203255698,0.056511974633662476,0.5904761904761905,0.3007052070930061,7,8
EXT_N20_katr4.0_R0.5_H24,20,4.0,0.5,24,False,483,PASS,1.2709524532180725,1.223856805417531,1.049934983831291,0.05729693381756063,0.587991718426501,0.2615806531767056,7,8
EXT_N15_katr3.5_R0.5_H24,15,3.5,0.5,24,False,558,PASS,1.2008440237690305,1.1545781333831575,0.8642902552427277,0.038904956614208605,0.6039426523297491,0.29940078995076624,8,8
EXT_N10_katr4.0_R0.75_H24,10,4.0,0.75,24,False,511,PASS,1.3114469806330231,1.266245113919634,0.9742762228484603,0.06020937111188636,0.5596868884540117,0.2977258440589821,7,8
EXT_N10_katr4.0_R0.15_H24,10,4.0,0.15,24,False,903,PASS,1.1681105289451652,1.0838570373695007,0.7899416028510502,0.06364068871335428,0.813953488372093,0.3298732674443291,6,8
EXT_N10_katr4.0_R0.1_H24,10,4.0,0.1,24,False,970,PASS,1.1946857308815466,1.0763421787567873,0.623652686260383,0.06850555626863243,0.8721649484536083,0.33461371564713316,5,8
EXT_N10_katr3.5_R0.25_H24,10,3.5,0.25,24,False,823,PASS,1.2955022737712483,1.226207787583897,1.2935531154979427,0.06169070561056959,0.755771567436209,0.26094244891080254,8,8
EXT_N10_katr5.0_R0.25_H24,10,5.0,0.25,24,False,697,PASS,1.2587097636401108,1.2033501004058207,1.340639013709067,0.047951928954534304,0.6987087517934003,0.18659583544053512,8,8
EXT_N15_katr4.0_R0.25_H24,15,4.0,0.25,24,False,682,PASS,1.2900708145330884,1.225328944802495,1.2455998670618924,0.04650302482468141,0.7331378299120235,0.2907684160428262,8,8
EXT_N20_katr4.0_R0.25_H24,20,4.0,0.25,24,False,621,PASS,1.393615624954225,1.3235539617957244,1.5082366579768773,0.037125732134871886,0.7375201288244766,0.2824536523696331,8,8
EXT_N5_katr4.0_R0.25_H24,5,4.0,0.25,24,False,860,PASS,1.148201472609665,1.0921296317845486,1.0797205567117751,0.052365296882951384,0.7244186046511628,0.2874050560628356,7,8
EXT_N30_katr4.0_R0.25_H24,30,4.0,0.25,24,False,524,PASS,1.4231317845464717,1.3521943764359452,1.4009431408142652,0.04224688549983622,0.7366412213740458,0.26415511037934397,8,8
EXT_N25_katr4.0_R0.25_H24,25,4.0,0.25,24,False,564,PASS,1.3378927988095393,1.2707697942339926,1.2201028900612931,0.04046366880876132,0.7269503546099291,0.24864032338545455,8,8
EXT_N20_katr4.5_R0.25_H24,20,4.5,0.25,24,False,599,PASS,1.2990429433073203,1.2377586892747408,1.2646965731418667,0.033168555567412834,0.7128547579298832,0.2884528086415894,8,8
