entry_time,exit_time,side,reason,entry_mid,exit_mid,risk_price,gross_R,cost_R,net_R,ret_frac,instrument,or_minutes,target
2021-11-09 15:03:00+00:00,2021-11-09 20:59:00+00:00,short,time,16206.615,16222.900000000001,194.10999999999876,-0.08389572922570593,0.02694634240894355,-0.11084207163464949,-0.0011084207163464949,NAS100,30,close
2021-11-10 15:00:00+00:00,2021-11-10 18:15:00+00:00,long,stop,16185.3,16048.04,137.2599999999984,-1.0,0.03807041745592351,-1.0380704174559234,-0.010380704174559234,NAS100,30,close
2021-11-11 15:16:00+00:00,2021-11-11 20:59:00+00:00,short,time,16059.585,16031.525000000001,56.56100000000151,0.4961015540743077,0.0923958641997111,0.40370568987459665,0.004037056898745966,NAS100,30,close
2021-11-12 15:45:00+00:00,2021-11-12 20:59:00+00:00,long,time,16084.895,16197.075,75.56999999999971,1.4844515019187603,0.024474238123594116,1.4599772637951662,0.014599772637951662,NAS100,30,close
2021-11-15 15:10:00+00:00,2021-11-15 20:59:00+00:00,short,time,16194.36,16193.915,65.1299999999992,0.006832488868412628,0.08041877168739543,-0.0735862828189828,-0.000735862828189828,NAS100,30,close
2021-11-16 15:16:00+00:00,2021-11-16 20:59:00+00:00,long,time,16257.935000000001,16310.005000000001,102.65999999999985,0.5072082602766392,0.05213924337619335,0.4550690169004459,0.0045506901690044585,NAS100,30,close
2021-11-18 15:10:00+00:00,2021-11-18 16:34:00+00:00,short,stop,16356.94,16424.045,67.10499999999774,-1.0,0.0737334162879095,-1.0737334162879095,-0.010737334162879095,NAS100,30,close
2021-11-19 15:00:00+00:00,2021-11-19 20:59:00+00:00,long,time,16619.614999999998,16573.816,99.95499999999811,-0.45819618828472747,0.05372026937121806,-0.5119164576559455,-0.005119164576559455,NAS100,30,close
2021-11-22 15:00:00+00:00,2021-11-22 16:12:00+00:00,long,stop,16739.43,16640.07,99.36000000000058,-1.0,0.05400328150160998,-1.05400328150161,-0.010540032815016101,NAS100,30,close
2021-11-23 15:09:00+00:00,2021-11-23 20:59:00+00:00,short,time,16283.76,16308.54,135.2900000000027,-0.1831620962377128,0.03909145982703744,-0.22225355606475022,-0.0022225355606475023,NAS100,30,close
2021-11-24 15:00:00+00:00,2021-11-24 20:59:00+00:00,long,time,16209.325,16366.465,105.33400000000074,1.4918260011012427,0.049852767150207554,1.4419732339510352,0.014419732339510351,NAS100,30,close
2021-11-29 15:02:00+00:00,2021-11-29 20:59:00+00:00,long,time,16307.525,16395.379999999997,97.95499999999993,0.8968914297381227,0.05169994768005721,0.8451914820580655,0.008451914820580655,NAS100,30,close
2021-11-30 15:00:00+00:00,2021-11-30 15:46:00+00:00,long,stop,16421.07,16322.39,98.68000000000029,-1.0,0.05201612738143479,-1.0520161273814348,-0.010520161273814348,NAS100,30,close
2021-12-01 15:01:00+00:00,2021-12-01 17:55:00+00:00,long,stop,16353.695,16271.515,82.18000000000029,-1.0,0.06516327969092213,-1.065163279690922,-0.01065163279690922,NAS100,30,close
2021-12-02 15:03:00+00:00,2021-12-02 15:43:00+00:00,long,stop,16005.111,15790.474999999999,214.63600000000224,-1.0,0.024288568017480507,-1.0242885680174805,-0.010242885680174806,NAS100,30,close
2021-12-03 15:01:00+00:00,2021-12-03 20:59:00+00:00,short,time,15830.91,15716.01,258.9500000000007,0.4437150028963094,0.019935369183239952,0.4237796337130694,0.004237796337130694,NAS100,30,close
2021-12-06 15:15:00+00:00,2021-12-06 20:59:00+00:00,long,time,15760.44,15847.575,200.8199999999997,0.4338960262922037,0.025772848321880325,0.4081231779703234,0.004081231779703234,NAS100,30,close
2021-12-07 15:00:00+00:00,2021-12-07 20:59:00+00:00,long,time,16230.24,16324.205,108.91899999999987,0.862705313122598,0.048624265738760046,0.814081047383838,0.00814081047383838,NAS100,30,close
2021-12-08 18:41:00+00:00,2021-12-08 20:59:00+00:00,long,time,16358.619999999999,16390.315000000002,104.05500000000029,0.304598529623788,0.024557304310220487,0.2800412253135675,0.002800412253135675,NAS100,30,close
2021-12-09 15:07:00+00:00,2021-12-09 20:59:00+00:00,short,time,16323.881,16150.41,92.12400000000162,1.8830163692414192,0.05816195600494883,1.8248544132364704,0.018248544132364704,NAS100,30,close
2021-12-10 15:46:00+00:00,2021-12-10 20:59:00+00:00,short,stop,16201.78,16326.725999999999,124.9459999999981,-1.0,0.01972944872184814,-1.0197294487218482,-0.010197294487218482,NAS100,30,close
2021-12-13 15:02:00+00:00,2021-12-13 20:59:00+00:00,short,time,16255.13,16090.99,82.72000000000116,1.984284332688553,0.06469965606866447,1.9195846766198885,0.019195846766198885,NAS100,30,close
2021-12-14 15:16:00+00:00,2021-12-14 20:59:00+00:00,short,time,15857.095000000001,15931.795,141.7009999999991,-0.5271663573298663,0.03654467734878394,-0.5637110346786502,-0.005637110346786502,NAS100,30,close
2021-12-15 15:00:00+00:00,2021-12-15 19:05:00+00:00,short,stop,15829.431,15932.541000000001,103.11000000000058,-1.0,0.05064413039472379,-1.0506441303947238,-0.010506441303947239,NAS100,30,close
2021-12-16 15:00:00+00:00,2021-12-16 20:59:00+00:00,short,time,16169.91,15867.146,174.20500000000175,1.7379753738411423,0.03066461266898164,1.7073107611721607,0.017073107611721608,NAS100,30,close
2021-12-17 15:22:00+00:00,2021-12-17 15:42:00+00:00,short,stop,15661.064999999999,15846.415,185.35000000000218,-1.0,0.02769004734286452,-1.0276900473428645,-0.010276900473428646,NAS100,30,close
2021-12-20 15:58:00+00:00,2021-12-20 20:59:00+00:00,short,time,15550.599999999999,15635.626,115.02000000000044,-0.7392279603547325,0.022020422535211186,-0.7612483828899437,-0.007612483828899437,NAS100,30,close
2021-12-21 15:03:00+00:00,2021-12-21 16:55:00+00:00,short,stop,15671.325,15804.425,133.09999999999854,-1.0,0.038352827761082314,-1.0383528277610823,-0.010383528277610823,NAS100,30,close
2021-12-22 15:37:00+00:00,2021-12-22 20:59:00+00:00,long,time,16051.305,16177.795,110.28900000000067,1.146895882635612,0.02063065967594217,1.1262652229596697,0.011262652229596697,NAS100,30,close
2021-12-23 15:00:00+00:00,2021-12-23 20:59:00+00:00,long,time,16251.115,16301.3,64.63500000000022,0.7764369149841313,0.08185985959619374,0.6945770553879376,0.006945770553879376,NAS100,30,close
2021-12-27 15:01:00+00:00,2021-12-27 20:59:00+00:00,long,time,16453.91,16564.265,102.81000000000131,1.073387802742906,0.052511125863242206,1.0208766768796638,0.010208766768796639,NAS100,30,close
2021-12-28 15:09:00+00:00,2021-12-28 20:59:00+00:00,short,time,16525.67,16499.07,86.90000000000146,0.30609896432679057,0.058636737054084176,0.2474622272727064,0.002474622272727064,NAS100,30,close
2021-12-29 15:05:00+00:00,2021-12-29 20:59:00+00:00,short,time,16482.285,16492.800000000003,70.61900000000242,-0.14889760546032507,0.07611743263144219,-0.22501503809176726,-0.0022501503809176726,NAS100,30,close
2021-12-30 15:05:00+00:00,2021-12-30 20:45:00+00:00,long,stop,16520.21,16452.665,67.54499999999825,-1.0,0.08000961359094144,-1.0800096135909414,-0.010800096135909414,NAS100,30,close
2021-12-31 15:01:00+00:00,2021-12-31 20:59:00+00:00,short,time,16389.489999999998,16330.654,79.08499999999913,0.7439590314218646,0.06693469241954932,0.6770243390023153,0.006770243390023153,NAS100,30,close
2022-01-03 19:43:00+00:00,2022-01-03 20:59:00+00:00,long,time,16487.309999999998,16496.525,192.22999999999774,0.04793736669616549,0.01297235161005061,0.03496501508611488,0.00034965015086114884,NAS100,30,close
